title,location,price,bedrooms,bathrooms,agency,link,desc
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands","350,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-spring-valley-3830495,4 Bed Townhouse with En Suite in Spring Valley
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands","260,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-spring-valley-3830494,4 Bed Townhouse with En Suite in Spring Valley
5 Bed Townhouse with En Suite in Lavington,Lavington,"350,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830488,5 Bed Townhouse with En Suite in Lavington
5 Bed Townhouse with En Suite in Lavington,Lavington,"350,000",5,5,ebony-estates-ltd,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830492,5 Bed Townhouse with En Suite in Lavington
4 Bed Villa in Lavington,Lavington,"200,000",4,3,ebony-estates-ltd,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-lavington-3830489,4 Bed Villa in Lavington
6 Bed House with En Suite in Lavington,Lavington,"480,000",6,6,destiny-homes,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-lavington-3828942,6 Bed House with En Suite in Lavington
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands","330,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-spring-valley-3830486,5 Bed Townhouse with En Suite in Spring Valley
4 Bed Townhouse with En Suite in Kilimani,Kilimani,"180,000",4,3,ebony-estates-ltd,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kilimani-3830485,4 Bed Townhouse with En Suite in Kilimani
3 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands","300,000",3,3,geoscape-global-limited,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-rent-spring-valley-3830483,3 Bed Townhouse with En Suite in Spring Valley
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","600,000",5,5,great-five-consultants,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3826902,5 Bed House with En Suite in Kitisuru
3 Bed House with En Suite in Karen,Karen,"160,000",3,2,newpoint-properties,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-rent-karen-3825136,3 Bed House with En Suite in Karen
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands","280,000",4,4,potaria-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-westlands-area-3824313,4 Bed Townhouse with En Suite in Westlands Area
5 Bed Townhouse with En Suite in Lavington,Lavington,"280,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830482,5 Bed Townhouse with En Suite in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands","270,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3830477,4 Bed House with En Suite in Runda
4 Bed Villa with En Suite in Runda,"Runda, Westlands","400,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-runda-3830472,4 Bed Villa with En Suite in Runda
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands","500,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-rosslyn-3830468,4 Bed House with En Suite in Rosslyn
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","380,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3830464,5 Bed House with En Suite in Kitisuru
5 Bed House with En Suite in Runda,"Runda, Westlands","250,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3830463,5 Bed House with En Suite in Runda
5 Bed Townhouse with En Suite in Runda,"Runda, Westlands","400,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-runda-3830458,5 Bed Townhouse with En Suite in Runda
2 Bed House with En Suite in Runda,"Runda, Westlands","200,000",2,2,geoscape-global-limited,https://www.buyrentkenya.com/listings/furnished-2-bedroom-house-for-rent-runda-3830455,2 Bed House with En Suite in Runda
4 Bed House with En Suite in Nyari,"Nyari, Westlands","400,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyari-3830451,4 Bed House with En Suite in Nyari
5 Bed House with En Suite in Runda,"Runda, Westlands","450,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3830450,5 Bed House with En Suite in Runda
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","350,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3830445,4 Bed House with En Suite in Kitisuru
5 Bed House with En Suite in Nyari,"Nyari, Westlands","387,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-nyari-3830444,5 Bed House with En Suite in Nyari
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands","645,200",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-gigiri-3830424,5 Bed House with En Suite in Gigiri
3 Bed House with En Suite in Ridgeways,Ridgeways,"413,000",3,3,geoscape-global-limited,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-rent-ridgeways-3830416,3 Bed House with En Suite in Ridgeways
4 Bed House with En Suite in Runda,"Runda, Westlands","413,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3830414,4 Bed House with En Suite in Runda
5 Bed House with En Suite in Runda,"Runda, Westlands","516,000",5,5,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3830413,5 Bed House with En Suite in Runda
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","516,000",4,4,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3830412,4 Bed House with En Suite in Kitisuru
5 Bed House with En Suite at Lavington Green,"M, Lavington green, Lavington","600,000",5,5,lavingtonmanagement,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3830410,5 Bed House with En Suite at Lavington Green
4 Bed Townhouse with Swimming Pool at Few Minutes Drive To Gigiri Roslyn Academy,"Few minutes drive to Gigiri Roslyn Academy, Runda, Westlands","450,000",4,5,falcon-sight-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3830409,4 Bed Townhouse with Swimming Pool at Few Minutes Drive To Gigiri Roslyn Academy
5 Bed House with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington","460,000",5,4,lavingtonmanagement,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3830407,5 Bed House with En Suite at Lavington Green
5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington","350,000",5,5,lavingtonmanagement,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830408,5 Bed Townhouse with En Suite at Lavington Green
4 Bed Townhouse with En Suite at Westlands,"westlands, Westlands Area, Westlands","250,000",4,4,rayalink-properties,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-westlands-area-3818739,4 Bed Townhouse with En Suite at Westlands
6 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands","300,000",6,7,glo-realtors,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-westlands-area-3819148,6 Bed Townhouse with En Suite in Westlands Area
4 Bed Villa with En Suite at Ruiru,Ruiru,"110,000",4,5,mk-properties,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-ruiru-3741014,4 Bed Villa with En Suite at Ruiru
1 Bed House in Karen,Karen,"90,000",1,nan,moulding-grace-real-estate,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-karen-3824209,1 Bed House in Karen
4 Bed House with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington","230,000",4,4,lavingtonmanagement,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3830402,4 Bed House with En Suite at Lavington Green
