title,location,price,bedrooms,bathrooms,agency,link,desc
4 Bed Villa with En Suite in Eastern ByPass,"Eastern ByPass, Ruiru","150,000",4,4,cartier-carter-realtors,https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-rent-eastern-bypass-3706805,4 Bed Villa with En Suite in Eastern ByPass
5 Bed House with Gym in Runda,"Runda, Westlands","300,000",5,5,great-five-consultants,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3706795,5 Bed House with Gym in Runda
4 Bed Townhouse with En Suite in Lavington,Lavington,"300,000",4,5,kiri-homes,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3704563,4 Bed Townhouse with En Suite in Lavington
4 Bed Villa with En Suite in Shanzu,Shanzu,"200,000",4,4,cartier-carter-realtors,https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-rent-shanzu-3706720,4 Bed Villa with En Suite in Shanzu
1 Bed House with En Suite in Kyuna,"Kyuna, Westlands","119,000",1,1,pam-golding-properties,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-kyuna-3706496,1 Bed House with En Suite in Kyuna
4 Bed House with En Suite at Nyali,"Mt kenya road, Nyali, Nyali Area","180,000",4,5,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyali-area-3706379,4 Bed House with En Suite at Nyali
4 Bed House with En Suite at Utange,"Utange, Bamburi","65,000",4,4,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-bamburi-3706218,4 Bed House with En Suite at Utange
6 Bed Townhouse with En Suite in Nyari,"Nyari, Westlands","619,000",6,6,bethel-prime-properties,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-nyari-3706203,6 Bed Townhouse with En Suite in Nyari
2 Bed House with En Suite in Karen,Karen,"70,000",2,2,realty-plus,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-karen-3705396,2 Bed House with En Suite in Karen
4 Bed Villa with En Suite at Nyali Mombasa,"Nyali, Nyali Mombasa, Nyali Area","180,000",4,5,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-rent-nyali-area-3705294,4 Bed Villa with En Suite at Nyali Mombasa
4 Bed Townhouse with En Suite at Nyali,"Nyali, Nyali Area","130,000",4,5,tuvilani-ventures-enterprice,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-nyali-area-3705292,4 Bed Townhouse with En Suite at Nyali
5 Bed House in Karen,Karen,"400,000",5,nan,moulding-grace-real-estate,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3704118,5 Bed House in Karen
